id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
97945,Deluxw-Apartm. with roof terrace,517685,Angelika,,Hadern,48.11492,11.48954,Entire home/apt,80,2,129,2019-10-03,0.99,2,7,0,
114695,Apartment Munich/East with sundeck,581737,Stephan,,Berg am Laim,48.12071,11.63758,Entire home/apt,105,2,54,2022-05-14,0.40,2,133,1,
127383,City apartment next to Pinakothek,630556,Sonja,,Maxvorstadt,48.15199,11.56482,Entire home/apt,120,3,106,2022-06-07,0.79,1,0,11,
159634,"Fancy, bright central roof top flat and homeoffice",765694,Sanna,,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,52,8,34,2020-12-23,0.26,1,0,0,
170154,"Own floor & bath, parking & breakfast",108297,Alex,,Sendling-Westpark,48.10814,11.52733,Private room,55,2,509,2022-06-16,3.89,1,161,30,
170815,Your own flat near central station!,814793,Inge,,Neuhausen-Nymphenburg,48.16071,11.54314,Entire home/apt,65,3,64,2020-02-18,0.49,1,0,0,
172672,Cozy guest room in high-end flat.,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,49,1,224,2022-05-22,2.27,2,0,10,
179640,GREEN OASIS near center & tradefair,860212,Ingrid,,Bogenhausen,48.14453,11.63769,Private room,35,2,50,2020-02-29,0.38,1,278,0,
183634,munich all-inclusive camping,880705,Toby,,Allach-Untermenzing,48.17532,11.44526,Shared room,50,1,0,,,1,221,0,
186596,2-room-flat in central location,910486,Hatice,,Au-Haidhausen,48.12008,11.57725,Shared room,82,1,163,2020-01-02,1.31,2,157,0,
187359,Charming apartment near City Center,901209,Christian,,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,90,2,32,2019-10-08,0.24,1,253,0,
187386,"bedroom, with 2 single beds and tv",901512,Janine,,Berg am Laim,48.12031,11.62787,Private room,59,2,16,2019-10-05,0.12,2,187,0,
189551,Beautiful Attic Floor Dwelling,914449,Peter,,Schwanthalerhöhe,48.13592,11.54427,Entire home/apt,280,3,360,2021-11-21,2.82,1,182,6,
189582,CLASSY APARTMENT in Munich,914564,Christiane,,Bogenhausen,48.15556,11.64903,Private room,25,30,13,2019-08-31,0.11,1,113,0,
189606,"Nice apartment near river ""Isar""",914691,Klaus,,Au-Haidhausen,48.12543,11.58042,Entire home/apt,51,2,189,2022-06-03,1.45,2,251,23,
